amp_attack,amp_decay,amp_release,amp_sustain,arp_frequency,arp_gate,arp_octaves,arp_on,arp_pattern,arp_sync,arp_tempo,beats_per_minute,cross_modulation,cutoff,delay_dry_wet,delay_feedback,delay_frequency,delay_on,delay_sync,delay_tempo,distortion_drive,distortion_mix,distortion_on,distortion_type,fil_attack,fil_decay,fil_env_depth,fil_release,fil_sustain,filter_blend,filter_drive,filter_on,filter_saturation,filter_shelf,filter_style,filter_type,formant_on,formant_x,formant_y,keytrack,legato,mod_attack,mod_decay,mod_release,mod_sustain,mono_lfo_1_amplitude,mono_lfo_1_frequency,mono_lfo_1_retrigger,mono_lfo_1_sync,mono_lfo_1_tempo,mono_lfo_1_waveform,mono_lfo_2_amplitude,mono_lfo_2_frequency,mono_lfo_2_retrigger,mono_lfo_2_sync,mono_lfo_2_tempo,mono_lfo_2_waveform,noise_volume,num_steps,osc_1_transpose,osc_1_tune,osc_1_unison_detune,osc_1_unison_voices,osc_1_volume,osc_1_waveform,osc_2_transpose,osc_2_tune,osc_2_unison_detune,osc_2_unison_voices,osc_2_volume,osc_2_waveform,osc_feedback_amount,osc_feedback_transpose,osc_feedback_tune,osc_mix,pitch_bend_range,poly_lfo_amplitude,poly_lfo_frequency,poly_lfo_sync,poly_lfo_tempo,poly_lfo_waveform,polyphony,portamento,portamento_type,resonance,reverb_damping,reverb_dry_wet,reverb_feedback,reverb_on,step_frequency,step_seq_00,step_seq_01,step_seq_02,step_seq_03,step_seq_04,step_seq_05,step_seq_06,step_seq_07,step_seq_08,step_seq_09,step_seq_10,step_seq_11,step_seq_12,step_seq_13,step_seq_14,step_seq_15,step_seq_16,step_seq_17,step_seq_18,step_seq_19,step_seq_20,step_seq_21,step_seq_22,step_seq_23,step_seq_24,step_seq_25,step_seq_26,step_seq_27,step_seq_28,step_seq_29,step_seq_30,step_seq_31,step_sequencer_retrigger,step_sequencer_sync,step_sequencer_tempo,step_smoothing,stutter_frequency,stutter_on,stutter_resample_frequency,stutter_resample_sync,stutter_resample_tempo,stutter_softness,stutter_sync,stutter_tempo,sub_octave,sub_shuffle,sub_volume,sub_waveform,unison_1_harmonize,unison_2_harmonize,velocity_track,volume,Modulation1Source,Modulation1Destination,Modulation1Amount,Modulation2Source,Modulation2Destination,Modulation2Amount,Modulation3Source,Modulation3Destination,Modulation3Amount,Modulation4Source,Modulation4Destination,Modulation4Amount,Modulation5Source,Modulation5Destination,Modulation5Amount,Modulation6Source,Modulation6Destination,Modulation6Amount,Modulation7Source,Modulation7Destination,Modulation7Amount,Modulation8Source,Modulation8Destination,Modulation8Amount,Modulation9Source,Modulation9Destination,Modulation9Amount,Modulation10Source,Modulation10Destination,Modulation10Amount,Modulation11Source,Modulation11Destination,Modulation11Amount,Modulation12Source,Modulation12Destination,Modulation12Amount,Modulation13Source,Modulation13Destination,Modulation13Amount,Modulation14Source,Modulation14Destination,Modulation14Amount,Modulation15Source,Modulation15Destination,Modulation15Amount,Modulation16Source,Modulation16Destination,Modulation16Amount
0,1.133356,0.6216465,0,2,0,1,1,0,1,9,2,0,69.46142,0.5,0.4,2,0,1,7,6.429502,1,1,0,0,0.5347593,5.765518,0.5723429,0.5339504,0,0,1,0,0,0,0,0,0.4714286,0.5225225,1,0,0,0,0,0,0.8591549,1.988,0,0,6,1,1,1,0,3,8,2,0,8,0,0,0,1,0.03138006,2,0,0.03200006,6.058597,3,0.5997912,3,0,0,0,0,2,1,1,1,6,0,4,-9,0,0.4207456,0.5,0.5,0.9,1,2,0.4457831,-0.7108433,0.1219879,0.686747,-0.4698795,0.4216868,0.8313253,-0.3253012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1.84,0,-7,1,6,0.568,1,8,0,0,0,1,0,0,0.136,0.9689591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.133356,0.6216465,0,2,0,1,1,0,1,9,2,0,90.05546,0.5,0.4,2,0,1,7,10.29693,1,1,0,0,0.30037,12.0659,0.5723429,0.5339504,0,-12,1,0,0,0,0,0,0.4714286,0.5225225,1,0,0,0,0,0,0.8591549,1.988,0,0,6,1,1,1,0,3,8,2,0,8,0,0,0,1,0.03236555,2,0,0.03200006,6.058597,3,0.5997912,3,-0.3668193,12,0,0,2,1,1,1,6,0,4,-9,0,0.478171,0.5,0.5,0.9,1,2,0.4457831,-0.7108433,0.1219879,0.686747,-0.4698795,0.4216868,0.8313253,-0.3253012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1.84,0,-7,1,6,0.568,1,8,0,0,0,1,0,0,0.136,0.9776047,22,54,-0.4830938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2.333333,0.254,80,0.5,0.4,2,0,1,9,0,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-12,0,4,3,0.4904128,2,-12,0,5.6,3,0.3079336,4,0,0,0,0,2,1,1,1,7,0,4,-9,0,0,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.4219831,0,0,0,0,0.9090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2,0,80,0.5,0.4,2,0,1,9,2.379373,0.5891719,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1.5,1.5,0.5,1,1,0,1,6,12,1,1,0,1,7,12,0.05933277,8,-12,-0.152,100,15,0.3535534,0,12,0.01600003,100,15,0.3535534,1,0.01600003,-13,-0.136,0,2,1,1,1,7,0,1,-5.288,2,0,0.5,0.4600639,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3.832,0,1,1,6,1,1,8,1,1,0.4809966,10,0,0,0,1.125878,13,49,0.352,11,40,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.941176,0.1171875,0,2,0,4,0,3,1,9,2,0.02799999,21.3625,0.5,0.4,2,0,1,9,18.72,1,1,0,0,1.647059,61.43999,0,0,0,-12,1,0,0,0,0,0,0.45,0.3153153,1,0,0,1.5,1.5,0.5,1,5.168,0,0,6,12,0.4929577,3.444001,0,0,7,12,0,8,12,-0.07999998,11.6,3,0.5827715,0,26,0,0,15,0.2831761,0,0.01599991,12,-0.832,0,0,1,1,1,7,0,1,-9,0,0,0.524,0.1313673,0.9552,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4.024,0,4,1,6,0,1,8,1,1,0.4695189,8,1,1,0.02400005,0.7364522,4,11,26.4745,13,49,1.12,11,43,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.941176,0.1171875,0,2,0,4,0,3,1,9,2,0.348,22.1875,0.5,0.4,2,0,1,9,18.72,1,1,0,0,1.647059,61.43999,0,0,0,-12,1,0,0,0,0,0,0.45,0.3153153,1,0,0,1.5,1.5,0.5,1,5.168,0,0,6,12,0.4929577,3.444001,0,0,7,12,0,8,12,-0.07999998,1.915625,3,0.4270714,0,26,0,0,15,0.3985035,0,0.01599991,12,-0.832,0,0,1,1,1,7,0,1,-9,0,0.2013889,0.524,0.1313673,0.9552,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4.024,0,4,1,6,0,1,8,1,1,0.4714949,4,1,1,0.02400005,0.7364522,11,43,0.1105312,4,11,26.4745,13,49,0.2815625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109545,1.5,0.3,1,2,1,2,0,4,1,9,2,0.07042187,32.125,0.5,0.4,2,0,1,9,7.114688,0.37675,1,0,0,1.5,38.24001,1.5,0.5,1,0,1,0,0,1,0,0,0.5,0.5,0.8161368,0,0.1188354,0.6541773,1.5,0,1,1,0,1,3,0,1,1,0,1,7,0,0,8,-12,0,10,1,0.5477226,4,-5,0,10,1,0.5477226,4,0,0,0,0,2,1,1,1,7,0,1,-7,0,0.6133333,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0.2,1,8,0,0.2069688,0.3871598,2,0,0,0,0.7805125,7,23,0.8270062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.20719,0.7891003,1,2,0.5,1,0,0,1,9,2,0.1935,60.175,0.5,0.4,2,0,1,9,7.25813,1,1,0,0,1.088354,29.82401,0.1153403,0,0,-4.9195,1,0,0,0,0,0,0.4857143,0.509434,0.7130938,1,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,0,0,21.96875,3,0.5,3,19,0,17.13125,3,0.5,3,-0.7117187,16,0,0,2,1,1,1,7,0,1,-8.52675,1,0.141791,0.1312813,0.06267261,0.8576969,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.7071068,2,0,0,0,0.8875177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2,0.2123047,40.375,0.5,0.4,2,0,1,9,12.83437,1,1,0,0.1,1.5,63.108,1.5,0.5,0,-5.32,1,0,0,0,0,0,0.5,0.5,1,1,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,3,0,0,8,0,0,0,7,0.4204482,3,-5,0,0,9,0.3976354,5,0,-12,-0.2670625,0,2,1,1,1,7,0,1,-6.394,1,0.3402778,0.2385,0.2803022,0.8531812,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0.5819844,0.4103098,2,1,1,0,0.8519403,13,76,0.2895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.20719,0.5601904,0.4433254,2,0.5,1,0,0,1,9,1.583333,0.09476352,46.60035,0.5,0.4,2,0,1,9,11.89904,1,1,0,0,0.65239,38.82455,0.1153403,0,0,-7.8975,1,0,0,0,0,0,0.4857143,0.509434,-0.002965569,1,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-12,0,21.96875,1,0.5779873,1,0,0,17.13125,1,0.5837632,1,-0.7117187,16,0,0,2,1,1,1,7,0,1,-8.52675,1,0.141791,0.1312813,0.2054531,0.8576969,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.04456805,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
