amp_attack,amp_decay,amp_release,amp_sustain,arp_frequency,arp_gate,arp_octaves,arp_on,arp_pattern,arp_sync,arp_tempo,beats_per_minute,cross_modulation,cutoff,delay_dry_wet,delay_feedback,delay_frequency,delay_on,delay_sync,delay_tempo,distortion_drive,distortion_mix,distortion_on,distortion_type,fil_attack,fil_decay,fil_env_depth,fil_release,fil_sustain,filter_blend,filter_drive,filter_on,filter_saturation,filter_shelf,filter_style,filter_type,formant_on,formant_x,formant_y,keytrack,legato,mod_attack,mod_decay,mod_release,mod_sustain,mono_lfo_1_amplitude,mono_lfo_1_frequency,mono_lfo_1_retrigger,mono_lfo_1_sync,mono_lfo_1_tempo,mono_lfo_1_waveform,mono_lfo_2_amplitude,mono_lfo_2_frequency,mono_lfo_2_retrigger,mono_lfo_2_sync,mono_lfo_2_tempo,mono_lfo_2_waveform,noise_volume,num_steps,osc_1_transpose,osc_1_tune,osc_1_unison_detune,osc_1_unison_voices,osc_1_volume,osc_1_waveform,osc_2_transpose,osc_2_tune,osc_2_unison_detune,osc_2_unison_voices,osc_2_volume,osc_2_waveform,osc_feedback_amount,osc_feedback_transpose,osc_feedback_tune,osc_mix,pitch_bend_range,poly_lfo_amplitude,poly_lfo_frequency,poly_lfo_sync,poly_lfo_tempo,poly_lfo_waveform,polyphony,portamento,portamento_type,resonance,reverb_damping,reverb_dry_wet,reverb_feedback,reverb_on,step_frequency,step_seq_00,step_seq_01,step_seq_02,step_seq_03,step_seq_04,step_seq_05,step_seq_06,step_seq_07,step_seq_08,step_seq_09,step_seq_10,step_seq_11,step_seq_12,step_seq_13,step_seq_14,step_seq_15,step_seq_16,step_seq_17,step_seq_18,step_seq_19,step_seq_20,step_seq_21,step_seq_22,step_seq_23,step_seq_24,step_seq_25,step_seq_26,step_seq_27,step_seq_28,step_seq_29,step_seq_30,step_seq_31,step_sequencer_retrigger,step_sequencer_sync,step_sequencer_tempo,step_smoothing,stutter_frequency,stutter_on,stutter_resample_frequency,stutter_resample_sync,stutter_resample_tempo,stutter_softness,stutter_sync,stutter_tempo,sub_octave,sub_shuffle,sub_volume,sub_waveform,unison_1_harmonize,unison_2_harmonize,velocity_track,volume,Modulation1Source,Modulation1Destination,Modulation1Amount,Modulation2Source,Modulation2Destination,Modulation2Amount,Modulation3Source,Modulation3Destination,Modulation3Amount,Modulation4Source,Modulation4Destination,Modulation4Amount,Modulation5Source,Modulation5Destination,Modulation5Amount,Modulation6Source,Modulation6Destination,Modulation6Amount,Modulation7Source,Modulation7Destination,Modulation7Amount,Modulation8Source,Modulation8Destination,Modulation8Amount,Modulation9Source,Modulation9Destination,Modulation9Amount,Modulation10Source,Modulation10Destination,Modulation10Amount,Modulation11Source,Modulation11Destination,Modulation11Amount,Modulation12Source,Modulation12Destination,Modulation12Amount,Modulation13Source,Modulation13Destination,Modulation13Amount,Modulation14Source,Modulation14Destination,Modulation14Amount,Modulation15Source,Modulation15Destination,Modulation15Amount,Modulation16Source,Modulation16Destination,Modulation16Amount
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2.333333,0.076,80,0.5,0.4,2,0,1,9,0,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,0.4084507,1,0,1,6,0,1,1,0,1,7,0,0,8,0,0,0,1,0.8408964,7,24,0,30.4,15,0.3709677,2,0,0,0,0,2,1,1,1,7,0,1,-9,0,0,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.5474375,8,0,0,0,0.8340617,11,10,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2.333333,0.5,127,0.5,0.4,2,0,1,9,12,1,1,0,0.4117647,3.235294,0,0,0,0,-12,1,0,2,2,0,0,0,0,0,0,0.1,1.5,1.5,0.5,0.6619718,1,0,2,8,0,1,1,0,1,7,0,0,10,0,0,14,5,0.5152767,2,0,0,15.6,5,0.3400826,3,0,0,0,0,2,1,1,1,7,0,4,-9,0,0.5915493,0.5,0.5,0.9,0,2,1,0,0,1,-0.01204824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,0,1,1,6,0,1,8,0,0,0.7071068,2,0,0,0,0.7412236,11,52,-0.1562101,11,64,-0.2550294,4,11,-40.68682,11,46,0.5555423,4,64,0.1945913,22,46,-0.1900529,22,52,0.2673003,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2.333333,0.254,80,0.5,0.4,2,0,1,9,0,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-12,0,4,3,0.4904128,2,-12,0,5.6,3,0.3079336,4,0,0,0,0,2,1,1,1,7,0,4,-9,0,0,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.4219831,0,0,0,0,0.9090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.5,0.3,1,2,0.5,1,0,0,1,9,2.333333,0,56.70168,0.5,0.4,2,0,1,9,12,1,1,0,0.1,1.5,0,1.5,0.5,0,-12,1,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,0,0,0,1,0.4068854,0,-12,0,0,1,0.705268,0,0,0,0,0,2,1,1,1,7,0,1,-8.136,2,0,0.5,0.5,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.7071068,0,0,0,0,0.8823051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,1,2,0.5,1,0,0,1,9,2,0.272,115.0375,0.5,0.4,2,0,1,9,11.59313,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.6571429,0.4054054,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,12,0,0,1,0.5946035,5,-12,0,0,13,0.3655552,0,0.02400005,-6,0,0,4,1,1,1,7,0,1,-5.832,2,0.4027778,0.5,0.3148262,0.8136,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.512,0.7071068,1,0,0,0,0.6861252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,1,2,0.2,2,0,0,1,9,120,0,115.0375,0.5,0.4,2,0,1,9,0,0,0,0,0,0,46.08,1,0.4117647,0,0,0,-3.359996,0,0,0,0,0.6571429,0.4054054,0,0,0,0,0,0,0.6901408,1,0,1,7,12,1,1,0,1,7,0,0,8,12,0.03200006,0,1,0,7,-12,-0.234375,5.600002,15,0,5,0.8000001,13,0,0.7610063,4,1,1,1,7,0,1,-5.832,2,0.2708333,0.5,0.404,0.8136,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,5.532001,0,4,0,0,1,0,0,0,1,1,5,0,0,0,0.9662162,11,11,24.47407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,2,0.2,2,0,0,1,9,2,0.49,108.4375,0.5,0.4,2,0,1,9,-0.4799974,1,1,0,0,0,46.08,1,0.4117647,0,0,0,0,0,0,0,0,0.6571429,0.4054054,0,0,0,1.5,1.5,0.5,0.6901408,1,0,1,7,12,1,1,0,1,7,0,0,8,1.999998,-0.1919999,0,1,0.3916999,2,-24,-0.234375,0,1,0.7440954,0,0.8800001,19,0,0,3,1,1,1,7,0,1,-5.672,2,0.1875,0.28,0.2532008,0.8056,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,5.532001,0,4,1,6,1,1,8,1,0.336,0.7071068,0,0,0,0,0.8262889,11,11,24.47407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,1,2,0.5,1,0,0,1,9,2,0.272,115.0375,0.5,0.4,2,0,1,9,21.6,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.6571429,0.4054054,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,12,0,0,1,0.5946035,3,-12,0,0,13,0.3655552,0,0.02400005,-6,0,0,4,1,1,1,7,0,1,-5.832,2,0.4027778,0.5,0.3148262,0.8136,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.512,0.7071068,5,0,0,0,0.6861252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,1,2,0.5,1,0,0,1,9,2,0.272,115.0375,0.5,0.4,2,0,1,9,14.56875,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.6571429,0.4054054,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,12,0.104,0,1,0.5178301,6,-12,0,0,13,0.3100428,0,0.02400005,-6,0,0,4,1,1,1,7,0,1,-5.832,2,0.4027778,0.5,0.3148262,0.8136,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.512,0.6012475,2,0,0,0,0.6861252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.5,0,1,2,0.5,1,0,0,1,9,2,0.04999997,115.0375,0.5,0.4,2,0,1,9,16.7325,1,1,0,0.1,1.5,0,1.5,0.5,0,0,0,0,0,0,0,0,0.6571429,0.4054054,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,12,0.184,0,1,0.4673009,5,12,0,0,13,0.3325353,0,0.02400005,-6,0,0,4,1,1,1,7,0,1,-5.832,2,0.4027778,0.5,0.3148262,0.8136,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.512,0.5224294,2,0,0,0,0.6861252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
