amp_attack,amp_decay,amp_release,amp_sustain,arp_frequency,arp_gate,arp_octaves,arp_on,arp_pattern,arp_sync,arp_tempo,beats_per_minute,cross_modulation,cutoff,delay_dry_wet,delay_feedback,delay_frequency,delay_on,delay_sync,delay_tempo,distortion_drive,distortion_mix,distortion_on,distortion_type,fil_attack,fil_decay,fil_env_depth,fil_release,fil_sustain,filter_blend,filter_drive,filter_on,filter_saturation,filter_shelf,filter_style,filter_type,formant_on,formant_x,formant_y,keytrack,legato,mod_attack,mod_decay,mod_release,mod_sustain,mono_lfo_1_amplitude,mono_lfo_1_frequency,mono_lfo_1_retrigger,mono_lfo_1_sync,mono_lfo_1_tempo,mono_lfo_1_waveform,mono_lfo_2_amplitude,mono_lfo_2_frequency,mono_lfo_2_retrigger,mono_lfo_2_sync,mono_lfo_2_tempo,mono_lfo_2_waveform,noise_volume,num_steps,osc_1_transpose,osc_1_tune,osc_1_unison_detune,osc_1_unison_voices,osc_1_volume,osc_1_waveform,osc_2_transpose,osc_2_tune,osc_2_unison_detune,osc_2_unison_voices,osc_2_volume,osc_2_waveform,osc_feedback_amount,osc_feedback_transpose,osc_feedback_tune,osc_mix,pitch_bend_range,poly_lfo_amplitude,poly_lfo_frequency,poly_lfo_sync,poly_lfo_tempo,poly_lfo_waveform,polyphony,portamento,portamento_type,resonance,reverb_damping,reverb_dry_wet,reverb_feedback,reverb_on,step_frequency,step_seq_00,step_seq_01,step_seq_02,step_seq_03,step_seq_04,step_seq_05,step_seq_06,step_seq_07,step_seq_08,step_seq_09,step_seq_10,step_seq_11,step_seq_12,step_seq_13,step_seq_14,step_seq_15,step_seq_16,step_seq_17,step_seq_18,step_seq_19,step_seq_20,step_seq_21,step_seq_22,step_seq_23,step_seq_24,step_seq_25,step_seq_26,step_seq_27,step_seq_28,step_seq_29,step_seq_30,step_seq_31,step_sequencer_retrigger,step_sequencer_sync,step_sequencer_tempo,step_smoothing,stutter_frequency,stutter_on,stutter_resample_frequency,stutter_resample_sync,stutter_resample_tempo,stutter_softness,stutter_sync,stutter_tempo,sub_octave,sub_shuffle,sub_volume,sub_waveform,unison_1_harmonize,unison_2_harmonize,velocity_track,volume,Modulation1Source,Modulation1Destination,Modulation1Amount,Modulation2Source,Modulation2Destination,Modulation2Amount,Modulation3Source,Modulation3Destination,Modulation3Amount,Modulation4Source,Modulation4Destination,Modulation4Amount,Modulation5Source,Modulation5Destination,Modulation5Amount,Modulation6Source,Modulation6Destination,Modulation6Amount,Modulation7Source,Modulation7Destination,Modulation7Amount,Modulation8Source,Modulation8Destination,Modulation8Amount,Modulation9Source,Modulation9Destination,Modulation9Amount,Modulation10Source,Modulation10Destination,Modulation10Amount,Modulation11Source,Modulation11Destination,Modulation11Amount,Modulation12Source,Modulation12Destination,Modulation12Amount,Modulation13Source,Modulation13Destination,Modulation13Amount,Modulation14Source,Modulation14Destination,Modulation14Amount,Modulation15Source,Modulation15Destination,Modulation15Amount,Modulation16Source,Modulation16Destination,Modulation16Amount
0,0.7647059,0.1392463,0,2,0.5,1,0,0,1,9,2.333333,0,105.3698,0.01115155,0.07199991,2,1,2,8,22.08,1,1,0,0.1,1.5,0,1.5,0.5,1,-12,1,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,12,0,0,1,0.7188308,0,0,0,8.4,15,0.5,8,0,0,0,0,2,1,1,1,7,0,4,-9,0,0,0.064,0.1019313,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,0,0,0.1026445,2,0,0,0,0.9805393,1,11,-17.06959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4705882,0,0,2,0.5,1,0,0,1,9,2.333333,0.5,47.13445,0.04363113,0.216,2,1,2,8,33.12,1,1,0,0.1,1.5,0,1.5,0.5,2,-12,1,0,0,0,0,0,0.5,0.5,0,0,0.1,1.5,1.5,0.5,1,1,1,1,6,3,1,1,0,1,7,0,0,8,0,0,19.2,5,0.2267217,4,12,0,25.6,7,0.2685306,2,0,0,0,0,2,1,1,1,7,0,4,-9,0,0,0.144,0.186806,0.9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,-7,0,-7,1,6,0,1,8,0,1,0.07983463,4,0,0,0,0.6966988,11,10,-0.166,1,76,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.8226103,0.1171875,0,2,0,4,0,3,1,9,2,0.142,76.5055,0.5,0.4,2,0,1,9,5.583748,1,1,0,0,0.1171876,-36.86401,0,0,0,-12,1,0,1,2,0,0,0.8857143,0.7927928,0.7359999,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0.896,8,-19,0,11.6,3,0.5046949,2,18,0,0,5,0.4475184,6,-0.848,19,0,0,2,1,1,1,7,0,1,-9,0,0.9722222,0.924,0.03705745,0.828,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,4.024,1,4,0,6,0,0,8,1,0.976,0.6137686,6,1,1,0.02400005,0.7733755,4,11,26.4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2352941,0.5294118,0,0,2,0.5,1,0,0,1,9,2,0.448,48.2125,0.5,-0.672,2,1,1,10,19.67999,1,1,0,1.470588,2.941176,29.696,2.823529,1,0,-12,1,0,1,2,0,0,0.3214286,0.6126126,0,0,0,1.5,1.5,0.5,1,1,1,1,6,2,0.4366198,1,1,1,5,1,0.804,8,6,0,0,1,0.5832767,1,30,0,0,1,0.6057186,8,-0.28,12,0,0,2,1,1,1,7,0,1,-9,0,1,0.096,1,0.9784,1,2,1,-0.1325301,0.9036145,0.2530121,0.3253012,-0.3975904,0.4457831,-0.5662651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.328,3.988001,1,1.536,0,6,1,0,8,1,0.884,0.582656,10,0,0,0,0.9942754,22,71,-6.5,11,42,26.88,13,48,44.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.2941177,0,0,2,0.5,1,0,0,1,9,2,0.324,115.0375,0.5,0.4,2,0,1,9,15.36,1,1,0,0.8235294,1.5,-43.008,1.5,0.5,2,-12,1,0,0,0,0,0,0.6071429,0.8468468,0,0,0,1.5,1.5,0.5,1,-2.12,1,0,6,3,1,-1.392,1,0,5,3,0.788,8,-27,0,0,1,0.6618538,0,-6.999999,0,0,13,0.3188946,6,0.008000016,0,0,0,2,1,1,1,7,0,1,-9,0,0.7361111,0.104,0.001392662,0.808,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0,0,0,0,0,1,0.9489955,4,11,31.81198,13,48,21.888,11,42,10.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5294118,0.3,0,2,0.5,1,0,0,1,9,2,0.362,77.4625,0.5,0.4,2,0,1,9,18.94406,1,1,0,0.1764706,0.4705883,0,1.5,0,0,-12,1,0,0,0,0,0,0.4571429,0.6036036,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0.144,8,22,0,0,15,0.4564355,6,-15,0,0,15,0.2041242,1,-0.584,0,0,0,2,1,1,1,7,0,1,-9,0,0.3541667,0.5,0.3893875,0.9752,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,1,0.5260875,10,0,0,0.008000016,0.9201407,4,11,51.38658,4,40,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.7058824,0.3,0,2,0.5,1,0,0,1,9,2,0.202,64.66807,0.5,0.4,2,0,1,9,16.82344,1,1,0,0.1764706,3.294118,0,1.5,0,0,-12,1,0,0,0,0,0,0.4571429,0.6036036,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0.144,8,4.999998,0,0,15,0.3955332,0,22,0,0,15,0.3058651,0,-0.584,0,0,0,2,1,1,1,7,0,1,-9,0,0.8888889,0.5,0.3893875,0.9752,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.056,0.5260875,10,0,0,0.008000016,0.8995237,4,40,0.38,4,11,51.38658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3534007,0.1176471,0,2,0.5,1,0,0,1,9,2,0.5,112.5625,0.5,0.4,2,0,1,9,18.06656,1,1,0,0.3529412,0,0,0,0,2,-12,1,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-35,0,0,15,0.4912761,0,48,0,0,15,0.09299354,10,0.768,0,0.05599999,0,0,1,1,1,7,0,1,-9,0,0.8680556,0.5,0.04597048,0.8392,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0,0.4412346,10,0,0,0,0.8110097,4,42,11.52,4,11,-6.483102,4,48,15.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.701287,0.4248756,0,2,0.5,1,0,0,1,9,2,0.2,91.4875,0.5,0.4,2,0,1,9,23.04,1,1,0,0,2.294118,17.40799,1.727879,0,2,-12,1,0,0,0,0,0,0.5,0.5,1,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0.26,8,-24,0,0,13,0.3655552,1,-24,0.07200003,0,15,0.3535534,10,0.52,0,0,0,2,1,1,1,7,0,1,-9,0,0.8402778,0.908,0.04597049,0.9015999,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,1,1,6,0,1,8,1,0.896,0.3790092,10,0,1,-0.02399999,0.9162552,4,11,8.318531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08789063,0.831296,0.2352941,0,2,0.5,1,0,0,1,9,2,0,127,0.5,0.4,2,0,1,9,10.08,1,1,0,1.88439,0.2875343,0,0.872256,0,0,0,0,0,0,0,0,0,0.9142857,0.7297297,0,0,0,1.5,1.5,0.5,1,1,0,1,6,0,1,1,0,1,7,0,0,8,-28,0,0,15,0.3535534,0,-28,0,0,15,0.3535534,0,-0.008000016,0,0,0,0,1,1,1,7,0,1,-9,0,0,0.5,0.06,0.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,0,1,1,6,0.768,1,8,1,0.824,0.1541385,0,0,0,0.008000016,0.9391892,4,42,57.216,4,48,56.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
