amp_attack   ,amp_decay  ,amp_release ,amp_sustain  ,arp_frequency ,arp_gate  ,arp_octaves ,arp_on ,arp_pattern ,arp_sync ,arp_tempo ,beats_per_minute ,cross_modulation ,cutoff    ,delay_dry_wet ,delay_feedback ,delay_frequency ,delay_on ,delay_sync ,delay_tempo ,distortion_drive ,distortion_mix ,distortion_on ,distortion_type ,fil_attack   ,fil_decay  ,fil_env_depth ,fil_release ,fil_sustain ,filter_blend ,filter_drive ,filter_on ,filter_saturation ,filter_shelf ,filter_style ,filter_type ,formant_on ,formant_x  ,formant_y  ,keytrack     ,legato ,mod_attack ,mod_decay ,mod_release ,mod_sustain ,mono_lfo_1_amplitude ,mono_lfo_1_frequency ,mono_lfo_1_retrigger ,mono_lfo_1_sync ,mono_lfo_1_tempo ,mono_lfo_1_waveform ,mono_lfo_2_amplitude ,mono_lfo_2_frequency ,mono_lfo_2_retrigger ,mono_lfo_2_sync ,mono_lfo_2_tempo ,mono_lfo_2_waveform ,noise_volume ,num_steps ,osc_1_transpose ,osc_1_tune  ,osc_1_unison_detune ,osc_1_unison_voices ,osc_1_volume ,osc_1_waveform ,osc_2_transpose ,osc_2_tune  ,osc_2_unison_detune ,osc_2_unison_voices ,osc_2_volume ,osc_2_waveform ,osc_feedback_amount ,osc_feedback_transpose ,osc_feedback_tune ,osc_mix   ,pitch_bend_range ,poly_lfo_amplitude ,poly_lfo_frequency ,poly_lfo_sync ,poly_lfo_tempo ,poly_lfo_waveform ,polyphony ,portamento ,portamento_type ,resonance   ,reverb_damping ,reverb_dry_wet ,reverb_feedback ,reverb_on ,step_frequency ,step_seq_00 ,step_seq_01 ,step_seq_02 ,step_seq_03 ,step_seq_04 ,step_seq_05 ,step_seq_06 ,step_seq_07 ,step_seq_08 ,step_seq_09 ,step_seq_10 ,step_seq_11 ,step_seq_12 ,step_seq_13 ,step_seq_14 ,step_seq_15 ,step_seq_16 ,step_seq_17 ,step_seq_18 ,step_seq_19 ,step_seq_20 ,step_seq_21 ,step_seq_22 ,step_seq_23 ,step_seq_24 ,step_seq_25 ,step_seq_26 ,step_seq_27 ,step_seq_28 ,step_seq_29 ,step_seq_30 ,step_seq_31 ,step_sequencer_retrigger ,step_sequencer_sync ,step_sequencer_tempo ,step_smoothing ,stutter_frequency ,stutter_on ,stutter_resample_frequency ,stutter_resample_sync ,stutter_resample_tempo ,stutter_softness ,stutter_sync ,stutter_tempo ,sub_octave ,sub_shuffle ,sub_volume ,sub_waveform ,unison_1_harmonize ,unison_2_harmonize ,velocity_track ,volume    ,Modulation1Source ,Modulation1Destination ,Modulation1Amount ,Modulation2Source ,Modulation2Destination ,Modulation2Amount ,Modulation3Source ,Modulation3Destination ,Modulation3Amount ,Modulation4Source ,Modulation4Destination ,Modulation4Amount ,Modulation5Source ,Modulation5Destination ,Modulation5Amount ,Modulation6Source ,Modulation6Destination ,Modulation6Amount ,Modulation7Source ,Modulation7Destination ,Modulation7Amount ,Modulation8Source ,Modulation8Destination ,Modulation8Amount ,Modulation9Source ,Modulation9Destination ,Modulation9Amount ,Modulation10Source ,Modulation10Destination ,Modulation10Amount ,Modulation11Source ,Modulation11Destination ,Modulation11Amount ,Modulation12Source ,Modulation12Destination ,Modulation12Amount ,Modulation13Source ,Modulation13Destination ,Modulation13Amount ,Modulation14Source ,Modulation14Destination ,Modulation14Amount ,Modulation15Source ,Modulation15Destination ,Modulation15Amount ,Modulation16Source ,Modulation16Destination ,Modulation16Amount
0            ,0.4117647  , 0          ,0            ,     2        ,0.5       ,          2 ,     1 ,          4 ,       1 ,        9 ,        2.333333 ,     0           , 93.72269 ,  0.01825558  ,0.4            ,      2         ,       1 ,         2 ,          9 ,12               ,     1         ,            1 ,              0 ,0            ,4          ,0             ,0           , 0          , 0           ,-12          ,        1 ,0                 ,           0 ,           2 ,          0 ,         0 ,0.5        ,0.5        ,0            ,     0 ,0.1        ,1.5       ,  1.5       , 0.5        ,1                    ,1                    ,                   0 ,              1 ,               6 ,                  0 ,1                    ,1                    ,                   0 ,              1 ,               7 ,                  0 , 0           ,        8 ,-12             ,0           ,           0        ,                  3 ,  0.7071068  ,            10 ,12              ,0           ,          0         ,                  1 ,  0.8408964  ,             2 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        1 ,-9         ,              0 ,0           ,    0.16       ,   0.1313673   ,      0.9496    ,        1 ,2              ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   7 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         0 , 0          ,0          ,           2 ,                 0 ,                 0 ,0              ,0.8366234 ,                4 ,                    11 ,-39.41533         ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0.1          ,1.5        , 0.3        ,1            ,     2        ,0.092     ,          1 ,     1 ,          0 ,       1 ,        9 ,        2.333333 ,     0.148       , 80       ,  0.003506763 ,0.272          ,      2         ,       1 ,         2 ,          8 ,12               ,     1         ,            1 ,              0 ,0.1          ,1.5        ,0             ,1.5         , 0.5        , 0           ,-12          ,        1 ,0                 ,           2 ,           2 ,          0 ,         0 ,0.5        ,0.5        ,0            ,     0 ,0.1        ,1.5       ,  1.5       , 0.5        ,1                    ,1                    ,                   0 ,              1 ,               6 ,                  0 ,0.1830986            ,1                    ,                   0 ,              1 ,               9 ,                  3 , 0           ,        8 ,24              ,0           ,           4        ,                  5 ,  0.6389431  ,             3 ,12              ,0           ,         24.8       ,                 13 ,  0.3418694  ,             0 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        1 ,-9         ,              0 ,0.6126761   ,    0.148      ,   0.1551724   ,      0.9464    ,        1 ,2              ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   7 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         0 , 0          ,0.07983463 ,           2 ,                 0 ,                 0 ,0              ,0.8297099 ,               11 ,                    52 ,-0.1471273        ,               13 ,                    64 ,-1                ,               11 ,                    77 ,0.05441053        ,               11 ,                    10 ,0.132             ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0            ,0.2959559  , 0.3515625  ,0            ,     2        ,1         ,          3 ,     1 ,          3 ,       1 ,        9 ,        2        ,     0.366       , 37.21429 ,  0.01444766  ,0.09599996     ,      3.025391  ,       1 ,         0 ,          8 ,30               ,     1         ,            1 ,              0 ,0            ,3          ,11.26401      ,0           , 0          , 1           ,-5.811       ,        1 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.5        ,0.5        ,1            ,     0 ,0          ,1.5       ,  1.5       , 0.5        ,0.2394366            ,1                    ,                   0 ,              1 ,              11 ,                  1 ,0.1549295            ,0.844                ,                   0 ,              0 ,               7 ,                  0 , 0           ,        8 ,12              ,0.3840001   ,          11.71875  ,                 11 ,  0.2502739  ,             0 ,24              ,0.07200003  ,         11.71875   ,                 11 ,  0.4754346  ,             0 ,0.8720001           ,3.999999               ,0.64              ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        1 ,-9         ,              0 ,0.8309859   ,    0.5        ,   0.03495597  ,      0.864     ,        1 ,2              ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   7 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         1 , 0.192      ,0.271529   ,          10 ,                 0 ,                 0 ,-0.216         ,0.8765842 ,               13 ,                    11 ,12.45113          ,               11 ,                    46 ,-0.3784896        ,               11 ,                    52 ,0.3784896         ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0.1          ,1.5        , 0.2348327  ,1            ,     2        ,0.4635938 ,          3 ,     1 ,          2 ,       3 ,        8 ,        2        ,     0           , 65.5375  ,  0.4642023   ,-0.4151562     ,      2         ,       1 ,         1 ,          8 ,12               ,     1         ,            1 ,              0 ,0            ,1.485443   ,38.456        ,2.306805    , 0          , 0           ,-12          ,        1 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.5        ,0.5        ,0            ,     0 ,0          ,1.5       ,  1.5       , 0.5        ,1                    ,1                    ,                   0 ,              1 ,               3 ,                  0 ,1                    ,1                    ,                   0 ,              1 ,               7 ,                  0 , 0           ,        8 ,-12             ,0           ,          14.74531  ,                 11 ,  0.3799178  ,             5 ,-5              ,0           ,         10.96562   ,                  9 ,  0.3976354  ,             5 ,0.1114375           ,4                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        2 ,-9         ,              0 ,0.4402985   ,    0.5        ,   0.439288    ,      0.9561625 ,        1 ,2              ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   7 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         0 , 0.8354532  ,0.385318   ,           2 ,                 1 ,                 1 ,0              ,0.8960978 ,               11 ,                    54 ,0.6030313         ,                4 ,                    10 ,0.3599375         ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0            ,2.764706   , 1.352941   ,0            ,     2        ,0.84      ,          1 ,     1 ,          0 ,       1 ,        9 ,        2        ,     0           , 88.31512 ,  0.5         ,0.4            ,      2         ,       0 ,         1 ,          7 ,4.319999         ,     1         ,            1 ,              0 ,0            ,0.5347593  ,30.66704      ,1.941176    , 0.3382353  , 0           ,-12          ,        1 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.4714286  ,0.5225225  ,0            ,     0 ,0          ,0         ,  0         , 0          ,0.8591549            ,1.988                ,                   0 ,              0 ,               6 ,                  1 ,1                    ,1                    ,                   0 ,              3 ,               8 ,                  2 , 0           ,        8 ,0               ,0           ,           0        ,                  1 ,  0.6374537  ,             2 ,0               ,0.03200006  ,          6         ,                  1 ,  0.8408964  ,             0 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             6 ,                0 ,        4 ,-9         ,              0 ,0.4014085   ,    0.5        ,   0.5         ,      0.9       ,        1 ,2              ,0.4457831   ,-0.7108433  ,0.1219879   ,0.686747    ,-0.4698795  ,0.4216868   ,0.8313253   ,-0.3253012  ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   8 ,   0           ,1.84              ,         0 ,-7                         ,                    1 ,                     6 ,     0.568       ,           1 ,            8 ,         0 , 0          ,0.4790078  ,           1 ,                 0 ,                 0 ,0.136          ,0.8612218 ,               22 ,                     6 ,3                 ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0            ,1.133356   , 0.6216465  ,0            ,     2        ,0         ,          1 ,     1 ,          0 ,       1 ,        9 ,        2        ,     0           , 69.46142 ,  0.5         ,0.4            ,      2         ,       0 ,         1 ,          7 ,6.429502         ,     1         ,            1 ,              0 ,0            ,0.5347593  ,5.765518      ,0.5723429   , 0.5339504  , 0           ,0            ,        1 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.4714286  ,0.5225225  ,1            ,     0 ,0          ,0         ,  0         , 0          ,0.8591549            ,1.988                ,                   0 ,              0 ,               6 ,                  1 ,1                    ,1                    ,                   0 ,              3 ,               8 ,                  2 , 0           ,        8 ,0               ,0           ,           0        ,                  1 ,  0.03138006 ,             2 ,0               ,0.03200006  ,          6.058597  ,                  3 ,  0.5997912  ,             3 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             6 ,                0 ,        4 ,-9         ,              0 ,0.4207456   ,    0.5        ,   0.5         ,      0.9       ,        1 ,2              ,0.4457831   ,-0.7108433  ,0.1219879   ,0.686747    ,-0.4698795  ,0.4216868   ,0.8313253   ,-0.3253012  ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   8 ,   0           ,1.84              ,         0 ,-7                         ,                    1 ,                     6 ,     0.568       ,           1 ,            8 ,         0 , 0          ,0          ,           1 ,                 0 ,                 0 ,0.136          ,0.9689591 ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0            ,1.133356   , 0.6216465  ,0            ,     2        ,0         ,          1 ,     1 ,          0 ,       1 ,        9 ,        2        ,     0           , 90.05546 ,  0.5         ,0.4            ,      2         ,       0 ,         1 ,          7 ,10.29693         ,     1         ,            1 ,              0 ,0            ,0.30037    ,12.0659       ,0.5723429   , 0.5339504  , 0           ,-12          ,        1 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.4714286  ,0.5225225  ,1            ,     0 ,0          ,0         ,  0         , 0          ,0.8591549            ,1.988                ,                   0 ,              0 ,               6 ,                  1 ,1                    ,1                    ,                   0 ,              3 ,               8 ,                  2 , 0           ,        8 ,0               ,0           ,           0        ,                  1 ,  0.03236555 ,             2 ,0               ,0.03200006  ,          6.058597  ,                  3 ,  0.5997912  ,             3 ,-0.3668193          ,12                     ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             6 ,                0 ,        4 ,-9         ,              0 ,0.478171    ,    0.5        ,   0.5         ,      0.9       ,        1 ,2              ,0.4457831   ,-0.7108433  ,0.1219879   ,0.686747    ,-0.4698795  ,0.4216868   ,0.8313253   ,-0.3253012  ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   8 ,   0           ,1.84              ,         0 ,-7                         ,                    1 ,                     6 ,     0.568       ,           1 ,            8 ,         0 , 0          ,0          ,           1 ,                 0 ,                 0 ,0.136          ,0.9776047 ,               22 ,                    54 ,-0.4830938        ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0.1          ,1.5        , 0.3        ,1            ,     2        ,0.5       ,          1 ,     0 ,          0 ,       1 ,        9 ,        2.333333 ,     0.076       , 80       ,  0.5         ,0.4            ,      2         ,       0 ,         1 ,          9 ,0                ,     1         ,            1 ,              0 ,0.1          ,1.5        ,0             ,1.5         , 0.5        , 0           ,0            ,        0 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.5        ,0.5        ,0            ,     0 ,0.1        ,1.5       ,  1.5       , 0.5        ,0.4084507            ,1                    ,                   0 ,              1 ,               6 ,                  0 ,1                    ,1                    ,                   0 ,              1 ,               7 ,                  0 , 0           ,        8 ,0               ,0           ,           0        ,                  1 ,  0.8408964  ,             7 ,24              ,0           ,         30.4       ,                 15 ,  0.3709677  ,             2 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        1 ,-9         ,              0 ,0           ,    0.5        ,   0.5         ,      0.9       ,        0 ,2              ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   7 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         0 , 0          ,0.5474375  ,           8 ,                 0 ,                 0 ,0              ,0.8340617 ,               11 ,                    10 ,0.306             ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0.1          ,1.5        , 0.3        ,1            ,     2        ,0.5       ,          1 ,     0 ,          0 ,       1 ,        9 ,        2.333333 ,     0.5         ,127       ,  0.5         ,0.4            ,      2         ,       0 ,         1 ,          9 ,12               ,     1         ,            1 ,              0 ,0.4117647    ,3.235294   ,0             ,0           , 0          , 0           ,-12          ,        1 ,0                 ,           2 ,           2 ,          0 ,         0 ,0          ,0          ,0            ,     0 ,0.1        ,1.5       ,  1.5       , 0.5        ,0.6619718            ,1                    ,                   0 ,              2 ,               8 ,                  0 ,1                    ,1                    ,                   0 ,              1 ,               7 ,                  0 , 0           ,       10 ,0               ,0           ,          14        ,                  5 ,  0.5152767  ,             2 ,0               ,0           ,         15.6       ,                  5 ,  0.3400826  ,             3 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        4 ,-9         ,              0 ,0.5915493   ,    0.5        ,   0.5         ,      0.9       ,        0 ,2              ,1           ,0           ,0           ,1           ,-0.01204824 ,0           ,1           ,0           ,1           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   8 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         0 , 0          ,0.7071068  ,           2 ,                 0 ,                 0 ,0              ,0.7412236 ,               11 ,                    52 ,-0.1562101        ,               11 ,                    64 ,-0.2550294        ,                4 ,                    11 ,-40.68682         ,               11 ,                    46 ,0.5555423         ,                4 ,                    64 ,0.1945913         ,               22 ,                    46 ,-0.1900529        ,               22 ,                    52 ,0.2673003         ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
0.1          ,1.5        , 0.3        ,1            ,     2        ,0.5       ,          1 ,     0 ,          0 ,       1 ,        9 ,        2.333333 ,     0.254       , 80       ,  0.5         ,0.4            ,      2         ,       0 ,         1 ,          9 ,0                ,     1         ,            1 ,              0 ,0.1          ,1.5        ,0             ,1.5         , 0.5        , 0           ,0            ,        0 ,0                 ,           0 ,           0 ,          0 ,         0 ,0.5        ,0.5        ,0            ,     0 ,0.1        ,1.5       ,  1.5       , 0.5        ,1                    ,1                    ,                   0 ,              1 ,               6 ,                  0 ,1                    ,1                    ,                   0 ,              1 ,               7 ,                  0 , 0           ,        8 ,-12             ,0           ,           4        ,                  3 ,  0.4904128  ,             2 ,-12             ,0           ,          5.6       ,                  3 ,  0.3079336  ,             4 ,0                   ,0                      ,0                 ,0         ,               2 ,1                  ,1                  ,            1 ,             7 ,                0 ,        4 ,-9         ,              0 ,0           ,    0.5        ,   0.5         ,      0.9       ,        0 ,2              ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,0           ,  0         ,0           ,0           ,0           ,0           ,0           ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,  0         ,                       0 ,                  1 ,                   7 ,   0           ,3                 ,         0 ,1                          ,                    1 ,                     6 ,     0           ,           1 ,            8 ,         0 , 0          ,0.4219831  ,           0 ,                 0 ,                 0 ,0              ,0.9090909 ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                  ,                       ,                  ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,                   ,                   ,                        ,
